"filename", "language", "JSON", "Markdown", "HTML", "JavaScript", "SCSS", "CSS", "Log", "XML", "JavaScript React", "comment", "blank", "total"
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\src\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\src\serviceWorker.js", "JavaScript", 0, 0, 0, 98, 0, 0, 0, 0, 0, 31, 13, 142
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\src\setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\src\styles\containers.scss", "SCSS", 0, 0, 0, 0, 228, 0, 0, 0, 0, 12, 49, 289
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\src\styles\courses.scss", "SCSS", 0, 0, 0, 0, 88, 0, 0, 0, 0, 1, 37, 126
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\src\styles\login.scss", "SCSS", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 12, 71
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\src\styles\nav.scss", "SCSS", 0, 0, 0, 0, 70, 0, 0, 0, 0, 11, 20, 101
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\src\styles\schedule.scss", "SCSS", 0, 0, 0, 0, 89, 0, 0, 0, 0, 2, 5, 96
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\src\styles\searchStudent.scss", "SCSS", 0, 0, 0, 0, 34, 0, 0, 0, 0, 17, 14, 65
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\src\styles\stats.scss", "SCSS", 0, 0, 0, 0, 153, 0, 0, 0, 0, 3, 36, 192
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\src\styles\viewCourses.scss", "SCSS", 0, 0, 0, 0, 225, 0, 0, 0, 0, 2, 61, 288
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\src\styles\viewStudent.scss", "SCSS", 0, 0, 0, 0, 45, 0, 0, 0, 0, 7, 11, 63
"Total", "-", 14944, 37, 20, 274, 1073, 6, 114, 31, 1063, 211, 580, 18353
